Sample ID	COG-UK ID	GISAID Accession	GISAID Secondary Accession	ENA Sample Accession	ENA Run Accession
S0091	LOND-1251B0A	EPI_ISL_705948	hCoV-19/England/LOND-1251B0A/2020	ERS5545261	ERR5080798
S0092	LOND-1325737	EPI_ISL_920509	hCoV-19/England/LOND-1325737/2020	ERS5742644	ERR5290838
S0093	LOND-1251E2F	0	0	0	0
S0094	LOND-1251B28	EPI_ISL_704666	hCoV-19/England/LOND-1251B28/2020	ERS5546850	ERR5082411
S0095	LOND-13255C4	EPI_ISL_920491	hCoV-19/England/LOND-13255C4/2020	ERS5735938	ERR5287380
S0096	LOND-1322DDE	0	0	0	0
S0097	LOND-1251BFB	EPI_ISL_705954	hCoV-19/England/LOND-1251BFB/2020	ERS5544529	ERR5080060
S0098	LOND-1251BDD	0	0	ERS5546957	ERR5082519
S0099	LOND-1251B91	EPI_ISL_705952	hCoV-19/England/LOND-1251B91/2020	ERS5540709	ERR5076248
S0100	LOND-1251B64	EPI_ISL_703966	hCoV-19/England/LOND-1251B64/2020	ERS5531908	ERR5067444
S0101	LOND-1322DED	EPI_ISL_866055	hCoV-19/England/LOND-1322DED/2020	ERS5660137	ERR5223834
S0102	LOND-1322DFC	0	0	0	0
S0103	LOND-1322E08	0	0	0	0
S0104	LOND-13285B2	#N/A	#N/A	#N/A	#N/A
S0105	LOND-1322E17	EPI_ISL_866056	hCoV-19/England/LOND-1322E17/2020	ERS5654778	ERR5218677
S0106	LOND-1251F68	EPI_ISL_704669	hCoV-19/England/LOND-1251F68/2020	ERS5537615	ERR5073128
S0107	LOND-125219E	EPI_ISL_704105	hCoV-19/England/LOND-125219E/2020	ERS5535344	ERR5070849
S0108	LOND-1328E02	#N/A	#N/A	#N/A	#N/A
S0109	LOND-1252680	EPI_ISL_842662	hCoV-19/England/LOND-1252680/2020	ERS5662356	ERR5225916
S0110	#N/A	#N/A	#N/A	#N/A	#N/A
S0111	LOND-1252240	0	0	0	0
S0112	LOND-125240E	0	0	ERS5528204	ERR5063807
S0113	LOND-12521AD	0	0	ERS5525045	ERR5060777
S0114	LOND-1252107	0	0	ERS5532001	ERR5067538
S0115	LOND-1251F2C	EPI_ISL_705958	hCoV-19/England/LOND-1251F2C/2020	ERS5543243	ERR5078792
S0116	LOND-1252204	EPI_ISL_702961	hCoV-19/England/LOND-1252204/2020	ERS5536601	ERR5072114
S0117	LOND-125226E	EPI_ISL_704041	hCoV-19/England/LOND-125226E/2020	ERS5526691	ERR5062281
S0118	LOND-12521BC	0	0	0	0
S0119	LOND-1251FC2	EPI_ISL_704671	hCoV-19/England/LOND-1251FC2/2020	ERS5547108	ERR5082673
S0120	LOND-1252161	0	0	0	0
S0121	LOND-12520A0	EPI_ISL_705378	hCoV-19/England/LOND-12520A0/2020	ERS5535221	ERR5070742
S0122	LOND-1322E35	EPI_ISL_866058	hCoV-19/England/LOND-1322E35/2020	ERS5661558	ERR5225165
S0123	LOND-1252705	EPI_ISL_842667	hCoV-19/England/LOND-1252705/2020	ERS5655866	ERR5219747
S0124	#N/A	#N/A	#N/A	#N/A	#N/A
S0125	#N/A	#N/A	#N/A	#N/A	#N/A
S0126	#N/A	#N/A	#N/A	#N/A	#N/A
S0127	LOND-1322E44	0	0	0	0
S0128	LOND-1322E53	0	0	0	0
S0129	LOND-12526BD	0	0	0	0
S0130	LOND-1322E62	EPI_ISL_866059	hCoV-19/England/LOND-1322E62/2020	ERS5665119	ERR5228016
S0131	LOND-1322E71	EPI_ISL_866060	hCoV-19/England/LOND-1322E71/2020	ERS5655548	ERR5219435
S0132	LOND-1322E80	EPI_ISL_866061	hCoV-19/England/LOND-1322E80/2020	ERS5653891	ERR5217805
S0133	LOND-1252592	EPI_ISL_842654	hCoV-19/England/LOND-1252592/2020	ERS5665014	ERR5227913
S0134	LOND-1322E9F	EPI_ISL_866062	hCoV-19/England/LOND-1322E9F/2020	ERS5656665	ERR5220525
S0135	LOND-12538E3	0	0	0	0
S0136	LOND-1322EAE	0	0	0	0
S0137	LOND-1322EBD	EPI_ISL_866063	hCoV-19/England/LOND-1322EBD/2020	ERS5657819	ERR5221617
S0138	LOND-1324AC6	EPI_ISL_920377	hCoV-19/England/LOND-1324AC6/2020	ERS5660621	ERR5224284
S0139	LOND-1322ECC	EPI_ISL_866064	hCoV-19/England/LOND-1322ECC/2020	ERS5664461	ERR5227358
S0140	LOND-1322EDB	EPI_ISL_866065	hCoV-19/England/LOND-1322EDB/2020	ERS5654770	ERR5218669
S0141	LOND-13257DD	EPI_ISL_920516	hCoV-19/England/LOND-13257DD/2020	ERS5736184	ERR5287637
S0142	LOND-1324282	EPI_ISL_920277	hCoV-19/England/LOND-1324282/2020	ERS5661940	ERR5225531
S0143	LOND-13241D0	EPI_ISL_920267	hCoV-19/England/LOND-13241D0/2020	ERS5653990	ERR5217910
S0144	LOND-125385C	EPI_ISL_842780	hCoV-19/England/LOND-125385C/2020	ERS5662214	ERR5225788
S0145	LOND-13245A7	EPI_ISL_920322	hCoV-19/England/LOND-13245A7/2020	ERS5653420	ERR5217342
S0146	LOND-12537C8	EPI_ISL_842776	hCoV-19/England/LOND-12537C8/2020	ERS5661774	ERR5225369
S0147	LOND-1253731	EPI_ISL_842770	hCoV-19/England/LOND-1253731/2020	ERS5654747	ERR5218647
S0148	LOND-1324A02	EPI_ISL_920372	hCoV-19/England/LOND-1324A02/2020	ERS5662831	ERR5226354
S0149	LOND-1253221	EPI_ISL_842718	hCoV-19/England/LOND-1253221/2020	ERS5654584	ERR5218490
S0150	LOND-12536F8	0	0	0	0
S0151	LOND-12531F7	#N/A	#N/A	#N/A	#N/A
S0152	LOND-1324941	EPI_ISL_920365	hCoV-19/England/LOND-1324941/2020	ERS5658728	ERR5222492
S0153	LOND-1324AD5	EPI_ISL_920378	hCoV-19/England/LOND-1324AD5/2020	ERS5655662	ERR5219552
S0154	LOND-1325676	EPI_ISL_920500	hCoV-19/England/LOND-1325676/2020	ERS5735915	ERR5287352
S0155	LOND-1252BBE	EPI_ISL_842712	hCoV-19/England/LOND-1252BBE/2020	ERS5664894	ERR5227788
S0156	LOND-1323C1C	EPI_ISL_920216	hCoV-19/England/LOND-1323C1C/2020	ERS5659823	ERR5223558
S0157	LOND-1323AE5	EPI_ISL_920199	hCoV-19/England/LOND-1323AE5/2020	ERS5665548	ERR5228455
S0158	LOND-13241C1	0	0	0	0
S0159	LOND-1324361	EPI_ISL_920290	hCoV-19/England/LOND-1324361/2020	ERS5667170	ERR5230097
S0160	LOND-1252B81	0	0	0	0
S0161	LOND-1252B63	0	0	ERS5663819	ERR5226763
S0162	LOND-1324880	EPI_ISL_920356	hCoV-19/England/LOND-1324880/2020	ERS5734616	ERR5285924
S0163	LOND-1324A11	EPI_ISL_920373	hCoV-19/England/LOND-1324A11/2020	ERS5654515	ERR5218427
S0164	LOND-13247CF	0	0	0	0
S0165	LOND-1252AB1	0	0	0	0
S0166	LOND-1252AC0	0	0	0	0
S0167	LOND-132544F	0	0	0	0
S0168	LOND-13244B9	EPI_ISL_920308	hCoV-19/England/LOND-13244B9/2021	ERS5666017	ERR5228927
S0169	LOND-132410D	EPI_ISL_920256	hCoV-19/England/LOND-132410D/2020	ERS5654876	ERR5218771
S0170	LOND-132554C	EPI_ISL_920485	hCoV-19/England/LOND-132554C/2020	ERS5735830	ERR5287255
S0171	LOND-1325A5C	EPI_ISL_920549	hCoV-19/England/LOND-1325A5C/2020	ERS5743206	ERR5291425
S0172	LOND-1252A75	0	0	ERS5660877	ERR5291363
S0173	LOND-132405B	EPI_ISL_920249	hCoV-19/England/LOND-132405B/2020	ERS5655032	ERR5218928
S0174	LOND-1325728	EPI_ISL_920508	hCoV-19/England/LOND-1325728/2020	ERS5734381	ERR5285669
S0175	LOND-1328075	#N/A	#N/A	#N/A	#N/A
